6156X;08481;MÁLAGA, CENTRO METEOROLÓGICO;MALAGA;364304N;042854W;54;2001-01-01;2021-09-03
6172O;08479;MÁLAGA, PUERTO;MALAGA;364300N;042511W;25;2001-01-01;2016-01-31
6032B;08443;RONDA;MALAGA;364459N;051006W;766;2001-01-01;2016-01-20
6205X;08484;TORROX;MALAGA;364335N;035726W;3;2001-01-02;2021-09-03
6000A;60338;MELILLA;MELILLA;351635N;025723W;52;1965-01-01;2021-09-03
7002Y;08432;ÁGUILAS;MURCIA;372502N;013513W;26;2009-01-11;2021-09-03
7228;08429;ALCANTARILLA, BASE AÉREA;MURCIA;375728N;011343W;75;1940-01-01;2021-09-03
7119B;08365;CARAVACA DE LA CRUZ;MURCIA;380609N;015238W;643;2009-01-30;2021-09-03
7012C;08434;CARTAGENA;MURCIA;373604N;005916W;17;1988-09-01;2021-09-03
7145D;08363;CIEZA;MURCIA;381358N;012250W;265;1997-02-19;2021-09-03
7209;08426;LORCA;MURCIA;373917N;014114W;312;1955-01-01;2021-09-03
7178I;08430;MURCIA;MURCIA;380007N;011015W;61;1984-04-01;2021-09-03
7031;08433;SAN JAVIER AEROPUERTO;MURCIA;374720N;004812W;4;1944-08-01;2021-09-03
7031X;08433;SAN JAVIER AEROPUERTO;MURCIA;374642N;004821W;4;2011-01-01;2021-09-03
7275C;08356;YECLA;MURCIA;383606N;010935W;640;2009-01-16;2021-09-03
9263X;08089;ARANGUREN, ILUNDAIN  ;NAVARRA;424634N;013157W;572;2010-03-19;2021-08-13
9294E;08087;BARDENAS REALES, BASE AÉREA ;NAVARRA;421155N;012831W;295;1993-07-24;2021-09-03
1002Y;08030;BAZTAN, IRURITA ;NAVARRA;430809N;013235W;183;2009-03-16;2021-09-02
9283X;08153;CADREITA;NAVARRA;421225N;014241W;268;1991-09-01;2017-02-12
9263D;08085;PAMPLONA, AEROPUERTO;NAVARRA;424637N;013900W;459;1975-01-01;2021-09-03
9262;;PAMPLONA;NAVARRA;424904N;013818W;450;1953-09-01;2021-08-31
1631E;08051;A POBRA DE TRIVES;OURENSE;422022N;071657W;840;1994-01-01;2021-09-02
1700X;08047;O CARBALLIÑO;OURENSE;422517N;080533W;400;1994-01-01;2021-09-02
1690B;;OURENSE,INSTITUTO;OURENSE;421956N;075152W;148;1952-01-01;1969-05-30
1690A;08048;OURENSE;OURENSE;421931N;075135W;143;1972-08-01;2021-09-02
1735X;08050;XINZO DE LIMIA;OURENSE;420445N;074401W;616;2001-02-22;2021-09-02
2400E;08072;AUTILLA DEL PINO;PALENCIA;415944N;043610W;874;1988-12-03;2021-09-02
2374X;08068;CARRIÓN DE LOS CONDES;PALENCIA;422103N;043702W;830;1988-12-03;2021-09-02
